,s_score,Hits,max_feat,avg_feat,max_centr,min_centr,avg_centr,features,all_same,hyd_prop,don_prop,catdon_prop,hydaro_prop,aniacc_prop,clusters,Receptor,hits_actual,quality,quality_pred
3,-0.8083741425831965,-0.7324083911295713,-0.8429399969701279,-0.9096251875268024,0.35296969356638225,1.2952728435120382,1.1937806226350005,0.0,-0.5179697702828123,-0.7092449816920228,-0.7418071977193716,1.2283899533239115,-0.6404447607135403,0.0,1.8257418583505536,5HT1B,3,1,1
6,1.2718197139846603,-0.7324083911295713,0.7356080835715134,0.8046706848482404,-0.582460134778659,-0.18626923190629174,-0.3662277583576783,0.0,1.930614598326846,2.022661615753527,-0.7418071977193716,-0.9008192992698068,-0.6404447607135403,0.0,1.8257418583505536,5HT2B,3,1,1
8,0.18022396594350948,-0.7369455886919656,0.002712019907727812,-0.41568400738722716,-0.3667337872748131,-0.8970916005254495,-1.2434520592048215,0.0,-0.5179697702828123,0.2013905518522353,1.5960094258921254,-0.5459510900901742,-0.6404447607135403,0.0,1.8257418583505536,5HT2C,2,1,0
11,-1.4587366741111216,-0.6870364155056283,-1.507967628523296,-1.3995099750409619,-2.846351996614101,-1.639772661038707,-2.27575411731321,0.0,-0.5179697702828123,-0.7092449816920228,-0.7418071977193716,1.2283899533239115,-0.6404447607135403,0.0,1.8257418583505536,5HT2C,13,0,0
18,1.1810778573667964,-0.7187967984423884,0.38398971039405505,-0.2953729659780917,0.11144349367675843,-1.514412927382681,-1.5707866701171385,0.0,-0.5179697702828123,1.5673438489813982,-0.7418071977193716,-0.9008192992698068,-0.6404447607135403,0.0,1.8257418583505536,A2C,6,1,0
23,-0.9512531409841466,-0.6824992179432341,-2.0402047849853195,-1.9858463861539348,0.8739443507056908,2.362632691311473,1.8924216458172898,0.0,1.930614598326846,-1.1645627484641519,-0.7418071977193716,1.583258162503544,-0.6404447607135403,0.0,1.8257418583505536,Beta 2,14,0,1
28,1.0077776828250022,-0.7233339960047828,0.9628152138092798,1.5986495730928756,0.10613616073220547,-0.5087880007205816,0.5038350316823531,0.0,-0.5179697702828123,1.1120260822092694,0.42710111408637674,-0.9008192992698068,-0.6404447607135403,0.0,1.8257418583505536,M1,5,1,1
29,-1.129282405609319,-0.7324083911295713,-0.35819386458078006,-0.02896072994718452,0.3970312186806884,1.066308689336709,0.4895952466843176,0.0,-0.5179697702828123,-0.7092449816920228,0.42710111408637674,0.5186535349646462,0.8733337646093728,0.0,1.8257418583505536,M1,3,1,0
33,0.8606652326195794,-0.7414827862543599,1.2761788813884167,0.07476674875548377,0.8169985566606563,-1.0205723570260001,-0.9413999822150362,0.0,-0.5179697702828123,-1.1645627484641519,3.9338260413212636,-0.9008192992698068,2.387112289932286,0.0,1.8257418583505536,M2,1,1,0
34,1.2812068026003014,-0.7006480081928113,0.021644333936722798,0.06440727082183084,-0.6039505191678658,-1.2084222230101367,-0.3600108949076061,0.0,1.930614598326846,2.022661615753527,-0.7418071977193716,-0.9008192992698068,-0.6404447607135403,0.0,1.8257418583505536,M2,10,1,1
36,1.2749487435232074,-0.7006480081928113,-0.0028461332645787017,-0.0907213836201703,-0.34106420331021464,-0.2179983506431438,-0.6954354137259697,0.0,-0.5179697702828123,1.5673438489813982,-0.7418071977193716,-0.9008192992698068,0.8733337646093728,0.0,1.8257418583505536,M4,10,0,1
42,0.9349273667861872,-0.7324083911295713,-1.3690670056888727,-1.1696598686930846,-0.5534942734620805,-0.4135499332897766,-0.7469802765451571,0.0,-0.5179697702828123,0.2013905518522353,0.42710111408637674,-0.9008192992698068,0.8733337646093728,0.0,1.8257418583505536,OPRD,3,1,0
